subset,condition,method,mse_norm_mean,mse_norm_std,mse_norm_median,mse_norm_q025,mse_norm_q975,mse_norm_n,psnr_norm_db_mean,psnr_norm_db_std,psnr_norm_db_median,psnr_norm_db_q025,psnr_norm_db_q975,psnr_norm_db_n,gfc_mean,gfc_std,gfc_median,gfc_q025,gfc_q975,gfc_n,low_frequency_nrmse_mean,low_frequency_nrmse_std,low_frequency_nrmse_median,low_frequency_nrmse_q025,low_frequency_nrmse_q975,low_frequency_nrmse_n,peak_amplitude_ratio_mean,peak_amplitude_ratio_std,peak_amplitude_ratio_median,peak_amplitude_ratio_q025,peak_amplitude_ratio_q975,peak_amplitude_ratio_n,peak_location_error_samples_mean,peak_location_error_samples_std,peak_location_error_samples_median,peak_location_error_samples_q025,peak_location_error_samples_q975,peak_location_error_samples_n
all,Combined OOD,BasicCNN,0.004842337644307312,0.004221183314008861,0.003572487970814109,0.0002337427908059908,0.014456773176789284,240,25.324133053992696,4.982706763499178,24.470307921053916,18.399288683948058,36.312617925376,240,0.9081687582540531,0.1827937370265636,0.9871565763200889,0.30642356803531656,0.9996514455043871,240,0.3940448315815529,0.7752614141259571,0.15773325087158818,0.023941886878393926,2.1450277999422678,240,1.3824233346379589,1.2363246480755974,1.0405591197514656,0.832643849454143,3.720121415517876,240,46.65416666666667,84.90458084623606,12.0,0.0,304.3750000000001,240
all,Combined OOD,DnCNN,0.0026697860813631753,0.0026992187904448725,0.0018650128040462732,0.00012160851620137692,0.009354600892402233,240,28.068310330319154,5.058024280690034,27.293239845845605,20.289766342752245,39.1505547946725,240,0.9344652691432164,0.1578202645797075,0.9933497813684188,0.39701818442021297,0.9998269542668141,240,0.2971153487472911,0.5662316644236051,0.11675419723483355,0.01867230263469457,1.7371705614427735,240,1.2070889987533926,0.7777005745744445,1.0119886991627594,0.8018685415470778,2.8910477057270527,240,47.4375,88.02702757495568,10.0,0.0,304.4000000000001,240
all,Combined OOD,DnResUnet,0.0018820067453058679,0.0024080868553948945,0.0009514139965176582,6.449625889217715e-05,0.008522817306220532,240,30.260989661466798,5.538082816802367,30.21667637497964,20.694185671252384,41.904793808310515,240,0.9394476434523529,0.1704610320111372,0.9971423614667572,0.37265907370522733,0.9999067813258036,240,0.24425839598526633,0.538824677352454,0.0808966868602807,0.012930814800510329,1.5361498961041706,240,1.9021814073737724,8.37532537429361,0.9851885300301583,0.7560108185610327,3.3522771026230993,240,51.8875,96.33297298485301,9.0,0.0,340.0,240
all,Combined OOD,No denoise,0.015709851467060314,0.014875877432309925,0.01061228709295392,0.0006227590201888233,0.05315102711319924,240,20.622655682564435,5.490904706503285,19.741912480947192,12.744909627217023,32.05680205951581,240,0.8467315213127979,0.23103343656041495,0.9629394723172939,0.1748753243387414,0.9990679336999836,240,0.45219854690297606,0.9080196618333284,0.17068884287372876,0.02528685630097652,2.651771809379309,240,3.4271781448395084,9.910366185834311,1.3940275760838514,0.9407625957619151,13.968516641432918,240,93.8,112.80861713724892,42.0,0.0,380.6250000000001,240
all,Combined OOD,Savitzky-Golay,0.006080746390822848,0.005628974932425699,0.004113161936402321,0.00022552296395588202,0.02044173781760037,240,24.649826525307944,5.391922695938558,23.85835339849404,16.894837256816043,36.46814067483832,240,0.900634578432035,0.1895520455170206,0.9854863358527595,0.27476365722743135,0.9996509113602892,240,0.4493654129215799,0.9032056889979959,0.16966720597092244,0.025140362920790294,2.6309040836257345,240,1.4574476657341588,1.3687125157623483,1.067991436362077,0.8713398258871721,4.6890098883974805,240,53.675,93.55679030702315,13.0,0.0,320.05,240
all,Combined OOD,TCN,0.0019756606544130287,0.002476580884327988,0.0011561173596419394,7.005908355495195e-05,0.008480100915767255,240,30.042663381652137,5.61435357897787,29.370025710933295,20.71607206799521,41.547681425961244,240,0.9393457231038429,0.17309176961652717,0.9966152358764875,0.40193986653321206,0.9999070769118054,240,0.25187488361633464,0.5134878718799968,0.08603524093335455,0.013874567899473897,1.5688780941493723,240,1.4866051753377922,4.183995231095727,0.9960654980830628,0.8033195277452674,3.2138228638413606,240,50.40833333333333,94.86043444089428,9.0,0.0,333.5500000000001,240
all,Combined OOD,UNet1D,0.002256691366013304,0.0028607261321871775,0.0011292212293483317,0.000139421545463847,0.009728764928877358,240,29.181224214261427,4.9689579613708075,29.472348338720558,20.11981178834211,38.55673699464267,240,0.9464224866993862,0.1672711608576148,0.996948817703221,0.43115910844580957,0.999828935911172,240,0.25867972962848307,0.5038731763007462,0.09692961610571331,0.02139483074118575,1.7329677348937471,240,1.1017969051398737,0.7010909920001739,0.9603832994369128,0.7553981918430303,3.126790631526954,240,42.77916666666667,87.51093884602479,8.0,0.0,333.17500000000007,240
all,Combined OOD,Wavelet,0.00372649640175436,0.00342505377163063,0.0025647832845742736,0.00015381822337380183,0.011392346514029133,240,26.55554409185564,5.108118542854966,25.90964504277174,19.433925469942764,38.12997422613545,240,0.9219648328954755,0.16972847744308092,0.9912203527164338,0.35141845531927063,0.9997866523177711,240,0.35199501773527203,0.7111381875746932,0.1311420812859696,0.020332224227872352,2.10905879112927,240,2.000075316586483,6.232930950475873,1.0323804595486283,0.8337794661643214,6.285667963481731,240,61.57083333333333,99.47079207631805,14.0,0.0,357.225,240
all,Combined OOD,Wiener,0.005250917938562547,0.004700796531763571,0.003636105950176702,0.00015791053819411106,0.01586608595080381,240,25.318269747122866,5.543762132899045,24.393636849532598,17.99534248467373,38.01590834626726,240,0.905406465077368,0.18553118152701067,0.9871558802375089,0.30363351158973456,0.9997681955127674,240,0.3744559594947929,0.7439976525414705,0.14360529372621733,0.020403564140160618,2.1596901769847925,240,2.7004878568120225,8.689847963089003,1.1032311572132238,0.8457801645379205,10.027280337375261,240,91.7125,122.6968772726862,27.0,0.0,384.5250000000001,240
all,ID resampling,BasicCNN,0.006413895472299676,0.007223562458506654,0.003964250907301903,0.00016556807640881745,0.027597002172842642,240,25.27478677221367,6.327180564610021,24.018404993461836,15.592062844736667,37.811919594879384,240,0.9027724784357457,0.20719918097083806,0.988760357406286,0.20637684211152846,0.9997574131902848,240,0.36403339842314286,0.6732990773095052,0.1433755818800091,0.01965920593338435,2.0800454602058736,240,1.3949632613544731,1.034952803349402,1.0423446403767596,0.9235727133900001,4.638442329088642,240,51.4125,103.41135638655511,8.0,0.0,398.9750000000005,240
all,ID resampling,DnCNN,0.0033995038438433766,0.004223320726884056,0.0017457199282944202,8.127661312755663e-05,0.013577531417831792,240,28.351065790516834,6.483372236373595,27.58056862803759,18.67317233999859,40.90163704935735,240,0.9320570010106916,0.18545190925338026,0.9951579375974482,0.3714696631886996,0.9998825730018753,240,0.2799727483396609,0.539955527316099,0.1028604329329639,0.015394381033841917,1.484124107869047,240,1.1769979695882051,0.6694082218662725,1.004526652436322,0.8353387727064465,2.623864440977434,240,47.0875,101.32881069354875,6.0,0.0,396.55000000000035,240
all,ID resampling,DnResUnet,0.0016495374096393788,0.0024425038284046005,0.0007384174969047308,4.529085554167978e-05,0.009602854889817538,240,31.700102255865268,6.170431431666001,31.318045626279783,20.17604629971918,43.440016443400474,240,0.9586817438675455,0.17057318605061686,0.9982433405289326,0.673474278080509,0.999936090503013,240,0.18708022849749859,0.35219630015046766,0.06717166404403209,0.01182352209093606,1.1668307068550303,240,1.0376602575000584,0.3021524719374723,0.9906949284388911,0.7056450466761314,1.9567400057399125,240,48.55,105.8788168113546,4.0,0.0,356.025,240
all,ID resampling,No denoise,0.024787635425673214,0.025706157161827437,0.01432484807446599,0.0004657689190935344,0.08481954131275417,240,19.66397403021013,6.773876966810337,18.439110968030352,10.715060108216138,33.318346108514845,240,0.8355217025877124,0.2506440229628679,0.9654698929438039,0.11718909976333838,0.9991385359080935,240,0.48202969139993807,0.9656298126924089,0.15765694802693514,0.02146794417032474,2.7972915203091064,240,2.450917064587739,3.616698714793843,1.3316518805811732,0.9953927124281725,11.130313905261914,240,81.50416666666666,126.05726924303002,18.5,0.0,479.1,240
all,ID resampling,Savitzky-Golay,0.010807977347379467,0.014048934266542834,0.0051392302848398685,0.0001557608076836914,0.05292071448639035,240,23.814479353438255,7.050241510135003,22.89499054406194,12.763743454536703,38.07562392215616,240,0.8869734689201386,0.2231640682379122,0.9853826701805946,0.21001348335469608,0.9996892205536017,240,0.4780593111479417,0.9580002555666122,0.15579011551697503,0.021441051806737638,2.7550687456455933,240,1.6749800752393837,1.683356406060562,1.095590017917932,0.9562914241543921,6.896728033418416,240,64.62083333333334,113.65981865141123,10.0,0.0,443.82500000000016,240
all,ID resampling,TCN,0.0016958261589858617,0.002697448551816374,0.0007270812056958675,3.640393542809761e-05,0.009851790708489723,240,31.74704691506077,6.292839502453411,31.384170989361863,20.06550205778452,44.388554188622464,240,0.9556295952131382,0.1763588087919943,0.9980793603298139,0.47665042779491085,0.9999355454409292,240,0.19010200232581262,0.3840943773474597,0.06934518130450007,0.012419764280328241,1.0770887303603793,240,1.0608821449571915,0.3959558694679047,1.0004268045714564,0.6956635275144973,1.8070840532429344,240,43.5875,102.3506599083856,4.0,0.0,367.2500000000003,240
all,ID resampling,UNet1D,0.0018667925145261202,0.0029857922057001493,0.0008599075372330844,8.691082675795769e-05,0.009863730496726932,240,30.62773735315996,5.393431093670131,30.6554879267654,20.059597189769775,40.60929759412952,240,0.9583075232797993,0.15678231698032344,0.9981112170927255,0.6245585763249639,0.9998994986066959,240,0.19544415920899147,0.35124680984355655,0.07500421584163561,0.01766446302733285,0.9428774914889063,240,1.0118558236645818,0.2843242670253415,0.9815342071941157,0.6807804191407514,1.8017591254274514,240,46.18333333333333,106.87837559000752,4.0,0.0,374.0000000000007,240
all,ID resampling,Wavelet,0.01210071554481997,0.017844056872706723,0.004630549448964759,0.0001718912166831944,0.06357509273881298,240,24.049946563067806,7.422187416128834,23.343728039330408,11.967214625129563,37.65169233407636,240,0.8867248263497522,0.2262512531264626,0.9857632343866926,0.19828337897770074,0.9996503212553929,240,0.4226993861610188,0.8548335961711628,0.13084941527928617,0.01812994266095029,2.643699313812157,240,1.8651725029697128,2.1697616587982296,1.1120218519698652,0.9299377831678936,9.331062138484285,240,69.9875,116.3493326457568,11.0,0.0,423.6750000000002,240
all,ID resampling,Wiener,0.008529851845136405,0.01059749955913878,0.004626540007125819,0.00011970501832147569,0.032772373030742596,240,24.864910603751675,7.219424192387375,23.355019880521553,14.848887779210658,39.218897583465896,240,0.89502203225248,0.21765237970896295,0.9887562111174946,0.22608774725750208,0.9998325755738637,240,0.41003593571730235,0.8201938292453408,0.1312978034990689,0.017794405601896976,2.3212631455823822,240,1.8890438296058591,2.222145676416085,1.1216056826573702,0.932984767171219,8.60445782521517,240,81.84166666666667,129.24651259562518,10.5,0.0,477.25000000000006,240
all,Sparse acquisition,BasicCNN,0.0031362804385935304,0.003139426147853716,0.0019309972412884235,0.00012128729686082807,0.010663253348320724,240,27.5860385562259,5.373666870437547,27.142321043146204,19.721146364433665,39.16187316904507,240,0.9526884610581746,0.10476778072586497,0.9954090548163556,0.6404768424706692,0.999800049883401,240,0.19674087637789614,0.3335406113407043,0.08655524032776428,0.013619496831625699,0.8202093166316834,240,1.137754608632444,0.6242046059341546,1.0082757524433648,0.8278483853633581,2.31971276496925,240,44.19166666666667,90.05821416524532,7.0,0.0,366.0,240
all,Sparse acquisition,DnCNN,0.0015366855242973543,0.002273229959747295,0.0008462914265692234,4.441702467374853e-05,0.005901213421020666,240,31.227825310994604,5.644687237243675,30.72480390665953,22.29382402282344,43.524542342526345,240,0.9762134718190035,0.06119611017250293,0.998065244513813,0.8225763244494709,0.9999350859534957,240,0.14320405439569303,0.22829787697440565,0.06674946925354533,0.00964636656184977,0.6219858261419378,240,1.0393212322003065,0.3495152250861048,0.9863630197478159,0.7684523687011523,1.6230483955033848,240,46.84583333333333,95.95586711842634,7.5,0.0,363.025,240
